                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1987,                 4.6573,                 4.0996,                 2.8193,                 9.1708,                 4.2554,                  1e-05,                0.00901,                  1e-05,                      0,                 2.9811,                 4.9784,                 4.2927,                 2.8076,                  12.95,                 4.2316,             0.00032906,             0.00032906,             0.00032906
                      2,                 2.4902,                 3.4273,                 2.9739,                  2.149,                 6.2965,                 2.9243,                0.25361,                0.13771,                0.10516,                0.03905,                 2.0892,                 3.3741,                 2.7545,                 1.7288,                 6.7292,                 2.6054,             0.00064928,             0.00064928,             0.00064928
                      3,                  1.916,                 2.6162,                 2.3323,                 1.7144,                 4.0968,                 2.2039,                0.88826,                0.05833,                0.08359,                0.03764,                 1.9889,                 4.1696,                 2.7949,                 1.5803,                 5.7624,                 2.3763,              0.0009563,              0.0009563,              0.0009563
                      4,                 1.5872,                  2.216,                 1.9461,                 1.4926,                 3.0096,                  1.864,                0.33699,                0.57223,                0.35967,                0.23102,                 1.0183,                 2.1142,                 1.4827,                 1.0739,                 2.7515,                 1.5106,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.3417,                 1.8763,                 1.6916,                 1.3149,                 2.3742,                 1.6492,                0.45945,                0.64229,                 0.4822,                0.38304,                  0.891,                 1.6225,                 1.3358,                0.83299,                 2.0607,                 1.3052,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.2232,                  1.738,                 1.5611,                  1.216,                 2.1326,                 1.5544,                0.44253,                0.53364,                0.53466,                0.41096,                0.85428,                 1.8443,                  1.304,                0.87213,                 2.1666,                 1.2721,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.1574,                  1.558,                 1.4865,                 1.1818,                 1.9142,                 1.4933,                0.43356,                0.65633,                0.55687,                0.45339,                0.86765,                 1.5916,                 1.2732,                0.83221,                 1.8313,                 1.2623,               0.000901,               0.000901,               0.000901
                      8,                 1.0602,                  1.424,                 1.4278,                 1.0857,                 1.7585,                 1.4418,                0.61257,                0.70498,                0.71009,                0.57947,                0.78589,                0.99457,                 1.1598,                 0.7605,                 1.2564,                 1.1612,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.0086,                  1.327,                 1.3765,                 1.0469,                 1.6574,                  1.393,                 0.6598,                0.76449,                0.80144,                0.70459,                0.60666,                 0.9967,                 1.0499,                0.63979,                 1.2225,                 1.0665,              0.0008614,              0.0008614,              0.0008614
                     10,                0.95605,                 1.2153,                 1.3276,                0.99926,                 1.5206,                 1.3533,                0.64991,                0.61333,                0.70523,                0.61731,                0.60852,                 1.0756,                 1.0562,                0.60866,                 1.2244,                 1.0762,              0.0008416,              0.0008416,              0.0008416
                     11,                0.91782,                 1.1309,                 1.3006,                 0.9753,                 1.4179,                 1.3314,                0.55465,                0.52939,                0.54356,                0.42177,                 1.1373,                 2.1089,                 1.5205,                0.98136,                 2.2504,                 1.3894,              0.0008218,              0.0008218,              0.0008218
                     12,                0.88147,                 1.0996,                 1.2798,                0.93423,                 1.3894,                 1.3121,                0.76768,                0.68358,                0.76458,                0.65052,                0.64022,                 1.1085,                 1.0876,                0.70095,                 1.2967,                 1.0846,               0.000802,               0.000802,               0.000802
                     13,                  0.861,                 1.0563,                  1.255,                0.92624,                 1.3478,                 1.2863,                0.29953,                0.27113,                0.23863,                0.18674,                 1.4071,                 2.3906,                 1.9667,                 1.1736,                 2.8292,                 1.6975,              0.0007822,              0.0007822,              0.0007822
                     14,                 0.8561,                 1.0338,                 1.2575,                0.91244,                 1.3226,                 1.2919,                0.83681,                0.70349,                0.88876,                0.79871,                0.53309,                0.69966,                0.98758,                0.56667,                0.91783,                 1.0033,              0.0007624,              0.0007624,              0.0007624
                     15,                0.84588,                0.97505,                 1.2433,                0.91092,                 1.2442,                 1.2681,                0.84577,                0.83093,                 0.9139,                0.83383,                0.46956,                0.54366,                0.97556,                0.50524,                0.68387,                0.99331,              0.0007426,              0.0007426,              0.0007426
                     16,                 0.7886,                0.94475,                 1.2165,                0.85638,                 1.2095,                 1.2493,                0.62477,                0.69052,                0.70831,                0.65536,                0.44217,                 0.9775,                0.94262,                0.47439,                 1.0983,                0.95286,              0.0007228,              0.0007228,              0.0007228
                     17,                0.78392,                0.91301,                 1.2136,                0.86086,                 1.1569,                 1.2481,                0.88562,                0.74678,                0.89431,                0.83462,                0.43221,                0.61364,                0.97012,                0.46738,                0.71966,                0.97205,               0.000703,               0.000703,               0.000703
                     18,                0.76238,                 0.8845,                 1.1959,                0.83665,                 1.1015,                 1.2305,                 0.8845,                0.83494,                 0.9397,                0.87276,                0.44158,                0.44363,                0.94725,                0.47027,                0.49254,                0.95092,              0.0006832,              0.0006832,              0.0006832
                     19,                0.77828,                0.88847,                 1.1933,                0.84717,                 1.1434,                 1.2245,                0.76305,                0.85883,                0.87597,                0.78885,                0.48557,                 0.7415,                0.95774,                0.52545,                0.93803,                0.96759,              0.0006634,              0.0006634,              0.0006634
                     20,                0.75724,                 0.8315,                 1.1831,                0.82552,                 1.0549,                 1.2169,                0.76632,                0.86446,                0.91907,                0.86686,                0.41139,                0.65492,                 0.9385,                0.41422,                0.82449,                0.94728,              0.0006436,              0.0006436,              0.0006436
                     21,                0.75596,                  0.832,                 1.1825,                0.82757,                 1.0358,                 1.2146,                0.94485,                0.90043,                 0.9614,                0.90733,                0.41921,                0.38612,                0.92813,                 0.4377,                0.39473,                0.94296,              0.0006238,              0.0006238,              0.0006238
                     22,                0.72668,                0.78842,                 1.1685,                0.80063,                0.99866,                 1.2081,                0.88408,                0.85415,                0.94941,                0.89703,                0.38885,                0.39449,                0.91656,                0.41636,                0.47962,                0.92996,               0.000604,               0.000604,               0.000604
                     23,                 0.7097,                0.75823,                 1.1618,                0.78428,                0.96733,                 1.1966,                0.86821,                 0.8278,                0.92012,                 0.8587,                0.40766,                0.57165,                0.92797,                0.42179,                 0.6446,                0.93918,              0.0005842,              0.0005842,              0.0005842
